question,answer,dataset
Is it true that the oldest person in the dataset has a stroke?,True,038_Stroke
Do all smokers have hypertension?,False,038_Stroke
Are all people with heart diseases married?,False,038_Stroke
Is the average glucose level higher for males than females?,True,038_Stroke
How many people in the dataset have a stroke?,249,038_Stroke
What is the average age of people who smoke?,47.09632446134347,038_Stroke
What is the highest glucose level recorded in the dataset?,271.74,038_Stroke
How many unique 'work_type' categories are there in the dataset?,5,038_Stroke
What is the most common work type among stroke patients?,Private,038_Stroke
What is the smoking status of the youngest person in the dataset?,Unknown,038_Stroke
What is the residence type of the person with the highest BMI?,Rural,038_Stroke
What is the gender of the person with the lowest glucose level?,Female,038_Stroke
What are the top 3 work types among people with heart diseases?,"['Private', 'Self-employed', 'Govt_job']",038_Stroke
What are the 5 most common smoking statuses among people with a stroke?,"['never smoked', 'formerly smoked', 'Unknown', 'smokes']",038_Stroke
What are the top 2 residence types of people with hypertension?,"['Rural', 'Urban']",038_Stroke
What are the top 2 work types among people who have never married?,"['Private', 'children']",038_Stroke
What are the oldest 5 ages of people with strokes?,"[82.0, 82.0, 82.0, 82.0, 82.0]",038_Stroke
What are the 3 lowest BMIs among people who smoke?,"[15.7, 16.7, 16.7]",038_Stroke
What are the top 4 glucose levels of people who have heart diseases?,"[271.74, 254.63, 254.6, 252.72]",038_Stroke
What are the 6 highest ages of people who have never married?,"[82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",038_Stroke
Are there any reflections with more than 10 sentences?,True,039_Happy
Is there a reflection from 'USA' with over 5 sentences?,True,039_Happy
Are there any reflections categorized as 'affection'?,True,039_Happy
Are there any married individuals who reflected on 'exercise'?,True,039_Happy
How many unique reflection periods are there?,2,039_Happy
"On average, how many sentences are there in the reflections?",1.3407668971005122,039_Happy
What's the highest age of an individual in the dataset?,233.0,039_Happy
How many reflections are from 'IND'?,16729,039_Happy
Which country has the highest average number of sentences in their reflections?,UKR,039_Happy
Which gender has the most reflections categorized as 'affection'?,f,039_Happy
From which country is the oldest individual who reflected?,USA,039_Happy
Which marital status has the most reflections on 'bonding'?,single,039_Happy
Which are the top 3 countries with the highest average number of sentences in their reflections?,"['UKR', 'CRI', 'HKG']",039_Happy
List the 4 most common predicted categories in the dataset.,"['affection', 'achievement', 'enjoy_the_moment', 'bonding']",039_Happy
Which 5 countries have the youngest average age of reflectors?,"['KAZ', 'ALB', 'LKA', 'MAR', 'SLV']",039_Happy
List 2 genders with the most number of reflections.,"['m', 'f']",039_Happy
What are the lowest 4 number of sentences?,"[1, 1, 1, 1]",039_Happy
List the 3 highest ages in the dataset.,"[233.0, 233.0, 233.0]",039_Happy
Which are the highest 5 number of sentences?,"[69, 60, 58, 56, 53, 51]",039_Happy
List the age of the 6 youngest individuals in the dataset.,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",039_Happy
Is it true that the youngest participant has met their match?,False,040_Speed
Do all people who got a match have the same race as their partner?,False,040_Speed
Are all participants who expected more than 5 matches male?,True,040_Speed
Is the average age of participants who got a match higher than those who didn't?,False,040_Speed
How many participants had a match?,1380,040_Speed
What is the average age of participants who have the same race as their partner?,26.390236506973924,040_Speed
What is the highest number of matches expected by any participant in the dataset?,18.0,040_Speed
How many unique 'race' categories are there in the dataset?,5,040_Speed
What is the most common race among participants who got a match?,european/caucasian-american,040_Speed
What is the gender of the youngest participant in the dataset?,male,040_Speed
What is the race of the participant with the highest number of expected matches?,other,040_Speed
What is the wave of the participant with the youngest age?,5,040_Speed
What are the top 3 waves among people who got a match?,"[21, 4, 11]",040_Speed
What are the 5 most common races among people who expected more than 5 matches?,"['european/caucasian-american', 'asian/pacific islander/asian-american', 'black/african american', 'latino/hispanic american', 'other']",040_Speed
What are the top 4 waves of people who have the same race as their partner?,"[15, 9, 21, 11]",040_Speed
What are the top 2 genders among people who expected no match?,"['female', 'male']",040_Speed
What are the top 5 ages of participants who got a match?,"[42.0, 42.0, 42.0, 42.0, 39.0]",040_Speed
What are the 3 lowest numbers of matches expected by people who got a match?,"[0.0, 0.0, 0.0]",040_Speed
What are the top 4 ages of people who have the same race as their partner?,"[55.0, 55.0, 55.0, 42.0]",040_Speed
What are the 6 youngest ages of participants who expected no match?,"[18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",040_Speed
Are there any tweets with more than 10 retweets?,True,041_Airline
Is there a negative sentiment tweet from 'United' airline?,True,041_Airline
Are there any tweets categorized with 'Late Flight' as the negative reason?,True,041_Airline
Are there any tweets from 'Eastern Time (US & Canada)' timezone with positive sentiment?,True,041_Airline
How many unique user timezones are there in the dataset?,85,041_Airline
"On average, what is the sentiment confidence of the tweets?",0.9001688524590163,041_Airline
What's the maximum number of retweets a tweet has received?,44,041_Airline
How many tweets are from 'Virgin America' airline?,504,041_Airline
Which airline has the highest average sentiment confidence?,US Airways,041_Airline
Which negative reason is most commonly associated with 'American' airline?,Customer Service Issue,041_Airline
From which timezone is the tweet with the highest sentiment confidence?,Eastern Time (US & Canada),041_Airline
Which airline has the most tweets with negative sentiment?,United,041_Airline
Which are the top 3 airlines with the highest average sentiment confidence?,"['US Airways', 'American', 'United']",041_Airline
List the 3 most common negative reasons in the dataset.,"['Customer Service Issue', 'Late Flight', 'Can't Tell']",041_Airline
Which 3 user timezones have the most number of tweets?,"['Eastern Time (US & Canada)', 'Central Time (US & Canada)', 'Pacific Time (US & Canada)']",041_Airline
List the 2 airlines with the least number of tweets in the dataset.,"['Virgin America', 'Delta']",041_Airline
What are the top 4 tweet IDs with the lowest sentiment confidence?,"[570306133677760513, 570301031407624196, 570300817074462722, 570300767074181121]",041_Airline
List the 3 highest retweet counts in the dataset.,"[44, 32, 31]",041_Airline
What are the 2 lowest values for sentiment confidence?,"[0.335, 0.335]",041_Airline
List the 6 highest sentiment confidence values.,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",041_Airline
Is it true that the student with the highest number of absences is from a rural area?,True,042_Predict
Are all students who are in a romantic relationship older than 17?,False,042_Predict
Is the average final grade (G3) of students who consume a lot of alcohol (Dalc > 2) lower than those who don't?,True,042_Predict
Do all students who have both parents at home (Pstatus = 'T') have more than 3 free time after school (freetime > 3)?,False,042_Predict
How many students have their mother's education (Medu) level above 3?,131,042_Predict
What is the average age of students who want to take higher education (higher = 'yes')?,16.634666666666668,042_Predict
What is the highest number of absences among students?,75,042_Predict
How many unique schools are there in the dataset?,2,042_Predict
What is the most common mother's job among students who want to take higher education?,other,042_Predict
What is the gender of the student with the highest final grade (G3)?,M,042_Predict
What is the school of the student with the highest number of absences?,GP,042_Predict
What is the family size of the student with the highest final grade (G3)?,GT3,042_Predict
What are the top 3 reasons for choosing a school among students who want to take higher education?,"['course', 'home', 'reputation']",042_Predict
What are the 5 most common mother's jobs among students with a final grade above 10?,"['other', 'services', 'teacher', 'health', 'at_home']",042_Predict
What are the top 4 schools among students with absences above 10?,"['GP', 'MS']",042_Predict
What are the top 2 family relations among students with a final grade below 10?,"[4, 5]",042_Predict
What are the top 5 ages of students who want to take higher education?,"[16, 17, 15, 18, 19]",042_Predict
What are the 3 lowest final grades of students who have more than 10 absences?,"[4, 14, 17]",042_Predict
What are the top 4 ages of students whose mother's education level is above 3?,"[15, 16, 18, 17]",042_Predict
What are the 6 lowest final grades of students who don't want to take higher education?,"[8, 10, 12, 9, 7, 13]",042_Predict
Is it true that the oldest company (based on approval year) is from an urban (UrbanRural=1) area?,False,043_Predict
Are all companies with more than 10 employees located in an urban (UrbanRural=1) area?,False,043_Predict
"Are all companies with a default amount greater than $250,000 in the food sector?",False,043_Predict
Is the average number of retained jobs higher for companies located in urban (UrbanRural=1) areas than those in rural (UrbanRural=0) areas?,True,043_Predict
How many companies have a franchise code of 1?,57340,043_Predict
What is the average disbursement gross for companies in the retail sector?,164636.4123068934,043_Predict
What is the highest approval year in the dataset?,2010,043_Predict
How many unique sectors are there in the dataset?,20,043_Predict
What is the most common sector among companies with a franchise code of 1?,Retail trade,043_Predict
What is the state of the company with the highest disbursement gross?,ME,043_Predict
What is the bank for the company with the highest default amount?,COMMUNITY BANK & TRUST,043_Predict
What is the sector of the company with the most number of employees?,Health care and social assistance,043_Predict
What are the top 3 sectors among companies with a franchise code of 1?,"['Retail trade', 'Other services (except public administration)', 'Manufacturing']",043_Predict
What are the 5 most common banks among companies with an approval year earlier than 2000?,"['WELLS FARGO BANK NATL ASSOC', 'BANK OF AMERICA NATL ASSOC', 'U.S. BANK NATIONAL ASSOCIATION', 'JPMORGAN CHASE BANK NATL ASSOC', 'PNC BANK, NATIONAL ASSOCIATION']",043_Predict
"What are the top 4 states among companies with a disbursement gross greater than $1,000,000?","['CA', 'TX', 'FL', 'AZ']",043_Predict
"What are the top 2 sectors among companies with a default amount greater than $500,000?","['Retail trade', 'Accommodation and food services']",043_Predict
What are the top 5 approval years for companies in the retail sector?,"[2005, 2004, 2006, 2007, 2003]",043_Predict
What are the 3 highest disbursement gross for companies with a franchise code of 1?,"[50000.0, 100000.0, 10000.0]",043_Predict
What are the top 4 approval years for companies in the state of CA?,"[2007, 2004, 2006, 2003]",043_Predict
What are the 6 highest default amounts among companies in the state of NY?,"[0.0, 50000.0, 25000.0, 100000.0, 35000.0, 10000.0]",043_Predict
Is it true that the oldest movie (based on year) in the drama genre is from the USA?,False,044_IMDb
"Are all movies from the USA, with more than 80 minutes duration in the drama genre, in English?",False,044_IMDb
Are all movies with votes greater than 90 from the USA in English?,True,044_IMDb
Is the average duration of English language movies from the USA longer than those from non-USA countries?,False,044_IMDb
"How many movies from the USA, in the drama genre, have a metascore of 100?",6,044_IMDb
"What is the average duration for movies in the drama genre, from the USA, in English?",96.07926963408374,044_IMDb
What is the latest year for English language movies from the USA in the dataset?,2020.0,044_IMDb
How many unique languages are there in the dataset for movies from the USA?,650,044_IMDb
What is the most common genre among English language movies from the USA with a metascore of 100?,"Adventure, Family, Fantasy",044_IMDb
What is the country of the English language movie with the longest duration?,Argentina,044_IMDb
What is the language of the movie from the USA with the highest metascore?,English,044_IMDb
What is the genre of the English language movie from the USA with the most votes?,Drama,044_IMDb
What are the top 3 genres among English language movies from the USA with a metascore of 100?,"['Adventure, Family, Fantasy', 'Drama, Mystery', 'Drama, Romance, War']",044_IMDb
What are the 5 most common countries among English language movies with a year earlier than 2000?,"['USA', 'UK', 'Canada', 'UK, USA', 'Australia']",044_IMDb
What are the top 4 languages among movies from the USA with a duration greater than 180 minutes?,"['English', 'English, Spanish', 'English, Russian', 'English, Hungarian']",044_IMDb
What are the top 2 genres among English language movies from the USA with a metascore greater than 90?,"['Drama', 'Crime, Drama']",044_IMDb
What are the top 5 years for English language movies from the USA in the drama genre?,"[2017.0, 2016.0, 2015.0, 2013.0, 2018.0]",044_IMDb
What are the 3 longest durations for English language movies from the USA with a metascore of 100?,"[102, 119, 112]",044_IMDb
What are the four years with more English language movies from the USA?,"[2017.0, 2016.0, 2018.0, 2013.0]",044_IMDb
Can you show the 6 highest metascores among English language movies from the USA?,"[49.0, 55.0, 57.0, 48.0, 54.0, 52.0]",044_IMDb
Is it true that the song with the lowest popularity in the dataset is longer than 300000 ms?,True,045_Predict
Did any song released in the year 2020 in the dataset achieve the maximum popularity?,False,045_Predict
Does the song with the longest duration also have the highest energy?,False,045_Predict
Does the song with the highest energy also have the highest popularity?,False,045_Predict
How many unique artists are there in the dataset?,13056,045_Predict
What's the average song duration in the dataset?,228998.0798095238,045_Predict
What's the maximum popularity score in the dataset?,94,045_Predict
How many songs were released in the year with the most releases?,489,045_Predict
Who is the artist with the highest popularity score?,['Giveon'],045_Predict
In which month was the most popular song released?,3.0,045_Predict
What's the name of the longest song?,Monster Tunes Yearmix 2011 - Mixed by Mark Eteson,045_Predict
What's the name of the song with the most energy?,Marathon (Mix Cut) - Simon O'Shine Mix,045_Predict
What are the the 2 shortest songs in the dataset?,"['Rhapsody on a Theme of Paganini, Op. 43: Introduction - Allegro vivace', 'Intro']",045_Predict
What are the names of the top 3 most popular songs?,"[Heartbreak Anniversary, Good Days, Paradise (feat. Dermot Kennedy)]",045_Predict
What are the top 3 artists who released songs with the longest durations?,"['Mark Eteson', 'Various Artists', 'Serge Reggiani']",045_Predict
What are the names of the top 2 songs with the most energy?,"[Marathon (Mix Cut) - Simon O'Shine Mix, Applause; Martha Tilton Returns to Stage - Live]",045_Predict
What are the top 5 most popular scores?,"[0, 35, 23, 1, 26]",045_Predict
What are the 3 longest song durations?,"[4792587.0, 4658245.0, 4585640.0]",045_Predict
What are the 4 latest release years in the dataset?,"[2021, 2021, 2021, 2021]",045_Predict
What are the top 3 energy scores in the dataset?,"[1.0, 1.0, 1.0]",045_Predict
Is it true that the athlete with the lowest ID is older than 30 years?,True,046_120
Did any athlete from the team with the most participants win two gold medals?,False,046_120
Does the athlete with the highest weight also participate in the sport with the most athletes?,False,046_120
Does the athlete with the highest height also have a medal?,False,046_120
How many unique teams are there in the dataset?,230,046_120
What's the average age of athletes in the dataset?,25.556898357297374,046_120
What's the maximum weight of athletes in the dataset?,214.0,046_120
How many athletes participated in the year with the most participants?,2536,046_120
Who is the athlete with the highest weight?,Ricardo Blas Jr.,046_120
In which city did the athlete with the highest height participate?,London,046_120
What's the name of the athlete who participated in the most number of games?,Robert Tait McKenzie,046_120
What's the sport of the athlete with the most medals?,Art Competitions,046_120
What are the top 5 most common team names in the dataset?,"[United States, France, Great Britain, Italy, Germany]",046_120
What are the names of the top 3 athletes with the highest weights?,"[Ricardo Blas Jr., Shinichi Shinohara, Emmanuel Yarborough]",046_120
What are the 4 most common cities of participation?,"[London, Athina, Sydney, Atlanta]",046_120
What are the names of the top 2 athletes who participated in the most number of games?,"[Robert Tait McKenzie, Heikki Ilmari Savolainen]",046_120
What are the top five most common ages of athletes?,"[23.0, 24.0, 22.0, 25.0, 21.0]",046_120
What are the three highest weights of athletes?,"[214.0, 198.0, 190.0]",046_120
What are the 4 most common years of participation?,"[1992, 1988, 2000, 1996]",046_120
What are the three most common heights of athletes?,"[180.0, 170.0, 178.0]",046_120
Does the dataset contain customers who are under the age of 18?,False,047_Bank
Are there any customers with a total transaction amount of zero?,False,047_Bank
"Does the dataset include customers with a credit limit exceeding $50,000?",False,047_Bank
Are there any customers in the dataset who are inactive for more than 12 months?,False,047_Bank
What is the highest credit limit in the dataset?,34516.0,047_Bank
What is the maximum total transaction amount recorded?,18484,047_Bank
What is the largest total revolving balance in the dataset?,2517,047_Bank
What is the highest customer age in the dataset?,73,047_Bank
What is the most common level of education among the customers?,Graduate,047_Bank
What is the most common income category of the customers?,Less than $40K,047_Bank
Which gender is most represented among the customers?,F,047_Bank
What is the most common attrition flag value?,0,047_Bank
What are the top 3 most common education levels among the customers?,"['Graduate', 'High School', 'Unknown']",047_Bank
Which are 4 most frequent income categories?,"['Less than $40K', '$40K - $60K', '$80K - $120K', '$60K - $80K']",047_Bank
Which are the top 3 most frequent income categories?,"['Less than $40K', '$40K - $60K', '$80K - $120K']",047_Bank
Which are the two most frequent income categories?,"['Less than $40K', '$40K - $60K']",047_Bank
How old are the 5 oldest customers in the dataset?,"[73, 70, 68, 67, 67]",047_Bank
What are the five customer IDs with the highest credit limit?,"[34516.0, 34516.0, 34516.0, 34516.0, 34516.0]",047_Bank
Who are the 6 customers with the highest total transaction amount?,"[18484, 17744, 17634, 17498, 17437, 17350]",047_Bank
Who are the six customer ids with the highest total revolving balance?,"[2517, 2517, 2517, 2517, 2517, 2517]",047_Bank
"Are there any job positions available in 'New York, NY'?",True,048_Data
Are there any job listings from companies founded before 1900?,True,048_Data
Are there any job listings that require Python skills?,True,048_Data
Is there a job listing for a 'Data Engineer' role?,True,048_Data
How many unique job titles are listed?,264,048_Data
"On average, how old are the companies that have job listings?",46.591644204851754,048_Data
What's the highest rating a company has received?,5.0,048_Data
How many job listings are there from 'Government' type of ownership?,15,048_Data
Which job title has the highest average salary?,"Director II, Data Science - GRM Actuarial",048_Data
Which state has the most number of job listings?, CA,048_Data
From which sector is the job listing with the highest salary?,Insurance,048_Data
Which company size has the most job listings?,1001 to 5000 employees,048_Data
Which are the top 3 sectors with the most job listings?,"['Information Technology', 'Biotech & Pharmaceuticals', 'Business Services']",048_Data
List the 4 most common industries in the dataset.,"['Biotech & Pharmaceuticals', 'Insurance Carriers', 'Computer Hardware & Software', 'IT Services']",048_Data
Which 5 states have the most number of job listings?,"[' CA', ' MA', ' NY', ' VA', ' IL']",048_Data
List the 3 company sizes with the least number of job listings.,"['-1', '1 to 50 employees', 'Unknown']",048_Data
What are the top 4 average salaries for job titles in the dataset?,"[254.0, 232.5, 225.0, 205.0]",048_Data
List the year the 3 oldest companies that have job listings were founded.,"[1744, 1781, 1781]",048_Data
Which are the highest 3 ratings given?,"[5.0, 5.0, 5.0]",048_Data
List the average salaries of the 6 most recent companies.,"[78.0, 88.5, 110.0, 40.5, 132.5, 20.5]",048_Data
Are there any authors in the dataset who have more followers than people they are following?,True,049_Boris
Is there any tweet in the dataset that has more replies<gx:number> than retweets<gx:number>?,True,049_Boris
Are there any verified users who have tweeted in a language other than English?,True,049_Boris
Does the dataset contain any tweets that include image links?,True,049_Boris
How many unique authors are present in the dataset?,1,049_Boris
What is the highest number of retweets<gx:number> a single tweet has received?,117386,049_Boris
What is the average number of favorites per tweet?,5081.805590062112,049_Boris
What's the total number of tweets from verified users?,3220,049_Boris
Which author has the most tweets in the dataset?,3131144855,049_Boris
Which language is most commonly used in the tweets?,en,049_Boris
What is the most common source of tweets?,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",049_Boris
"Which type of tweet (e.g., original, retweet, quote) is most common in the dataset?",original,049_Boris
Who are the top three authors (by ID) with the most followers?,"[3131144855, 3131144855, 3131144855]",049_Boris
What are the top five most frequently mentioned names in the tweets?,"['G7', 'foreignoffice', 'UN', 'Conservatives', 'COP26']",049_Boris
List the top four most commonly used languages in the tweets.,"['en', 'und', 'fr', 'es']",049_Boris
What are the highest three numbers of followers count present in the dataset?,"[3543402, 3543402, 3543402]",049_Boris
What are the bottom four numbers of favorites count?,"[7, 7, 8, 9]",049_Boris
List the top six numbers of retweets.,"[117386, 53527, 35698, 31449, 24824, 19982]",049_Boris
What are the bottom five numbers of replies?,"[2, 2, 3, 3, 4]",049_Boris
Is the most favorited author mainly communicating in Spanish?,True,050_ING
Does the author with the longest name post mainly original content?,True,050_ING
Is there an author who received no retweets for any of their posts?,True,050_ING
Are there any posts that do not contain any links?,True,050_ING
How many unique authors are in the dataset?,3943,050_ING
What is the length of the longest post (based on the number of words)?,61,050_ING
What is the total number of retweets received by all authors in the dataset?,1243,050_ING
How many posts do not contain any mentions of other users?,3788,050_ING
What is the name of the author with the most retweeted single tweet?,Lavincompae,050_ING
What is the language of the most favorited post?,es,050_ING
Who is the author of the post with the most words?,juan prin,050_ING
"What type of post (original, reply, or other) is the most common in the dataset?",reply,050_ING
Who are the authors of the top 3 most retweeted posts?,"['Lavincompae', '#NI UNA MENOS \xa0♐\xa0✊\xa0🚺', 'SFC The World']",050_ING
What are the languages of the 5 least favorited posts?,"['es', 'es', 'es', 'es', 'es']",050_ING
Who are the authors of the 4 shortest posts (based on the number of words)?,"['Correctorada', 'El Joker', 'Xenia Viladas', 'DrJaus \xa0🇪🇸']",050_ING
What types of posts are the 6 most common in the dataset?,"['reply', 'original']",050_ING
What are the retweet counts for the top 5 most favorited posts?,"[0, 0, 0, 0, 3]",050_ING
What are the word counts of the 3 longest posts?,"[61, 60, 59]",050_ING
What are the retweet counts of the 4 least favorited posts?,"[0, 0, 1, 0]",050_ING
What are the word counts for the 6 shortest posts?,"[1, 1, 1, 1, 1, 1]",050_ING
Is there a Pokémon named 'Pikachu' in the dataset?,True,051_Pokemon
Are there any Pokémon with a total stat greater than 700?,True,051_Pokemon
Are all Pokémon in the first generation legendary?,False,051_Pokemon
Is there any Pokémon with a speed greater than 150?,True,051_Pokemon
How many unique Pokémon types are there in the 'type1' column?,20,051_Pokemon
What's the highest total stat value found in the dataset?,1125,051_Pokemon
How many Pokémon are there in the third generation?,160,051_Pokemon
What is the average attack stat for all Pokémon?,80.94,051_Pokemon
What is the primary type of the Pokémon with the highest defense stat?,Poison,051_Pokemon
Which Pokémon has the lowest speed stat?,Shuckle,051_Pokemon
What primary type is the most common among legendary Pokémon?,Psychic,051_Pokemon
Which Pokémon has the highest special attack?,Mega Mewtwo Y,051_Pokemon
Name the top 3 Pokémon with the highest total stats.,"['Eternamax Eternatus', 'Mega Mewtwo X', 'Mega Mewtwo Y']",051_Pokemon
Which 5 Pokémon have the lowest hp stats?,"['Shedinja', 'Diglett', 'Alolan Diglett', 'Magikarp', 'Pichu']",051_Pokemon
Name the top 2 primary categories that have the most Pokémon.,"['Water', 'Normal']",051_Pokemon
Which 6 Pokémon from the second generation have the highest attack stats?,"['Mega Heracross', 'Mega Tyranitar', 'Mega Scizor', 'Tyranitar', 'Scizor', 'Ursaring']",051_Pokemon
What are the top 5 special defense stats in the dataset?,"[250, 230, 200, 160, 160]",051_Pokemon
List the lowest 2 defense stats of legendary Pokémon.,"[20, 31]",051_Pokemon
What are the 2 highest speed stats of Pokémon in the fourth generation?,"[135, 127]",051_Pokemon
list the 6 lowest total stats of non-legendary Pokémon.,"[175, 180, 180, 185, 190, 194]",051_Pokemon
Is the maximum level of Extraversion greater than the maximum level of Agreeableness?,True,052_Professional
Is the profession with the highest Openness the same as the profession with the highest Conscientousness?,False,052_Professional
Does the profession with the lowest Emotional_Range also have the lowest level of Conversation?,False,052_Professional
Is the average level of Openness to Change higher than the average level of Hedonism?,True,052_Professional
What is the maximum value of Self-enhancement across all professions?,0.7826336180787501,052_Professional
How many professions have an Emotional_Range above 0.5?,1002,052_Professional
What is the average Extraversion level for the profession with the highest number of records (n)?,0.373214039767641,052_Professional
What is the minimum level of Self-transcendence?,0.0353641396193574,052_Professional
What profession has the highest level of Conscientiousness?,Policy Officer,052_Professional
What is the profession with the lowest level of Hedonism?,Governor,052_Professional
Which profession has the highest Emotional_Range?,Mortgage Banker,052_Professional
What is the profession with the highest number of records (n)?,Program Manager,052_Professional
What are the top 3 professions with the highest Openness?,"['Book Publisher', 'Bureau Chief', 'Publisher']",052_Professional
Which are the bottom 4 professions in terms of Agreeableness?,"['.Net Architect', 'Android Developer', 'Principal Engineer', 'Game Engineer']",052_Professional
List the top 5 professions with the highest Conversation levels.,"['Director of Athletics', 'Recruiting Coordinator', 'Athletic Coordinator', 'Director of Personnel', 'Skills Trainer']",052_Professional
Name the bottom 2 professions in terms of Self-enhancement.,"['U.S. Senator', 'Congressman']",052_Professional
What are the top 3 values of Openness to Change across all professions?,"[0.7557249985959847, 0.7413189187628788, 0.7034528053640179]",052_Professional
List the bottom 4 Emotional_Range values.,"[0.1652381569664056, 0.2005428064324122, 0.2215546116855247, 0.2506791678499942]",052_Professional
What are the highest 5 levels of Extraversion?,"[0.9794365922809228, 0.9723660656030668, 0.954299437125917, 0.9362989453985364, 0.9307917067583288]",052_Professional
Name the lowest 6 levels of Self-transcendence.,"[0.0353641396193574, 0.0355792960526332, 0.0399752446723049, 0.0573280662585624, 0.0591099063085338, 0.0592781792571762]",052_Professional
Is there a patent containing the word 'communication' in the title?,True,053_Patents
Are there patents associated with the organization 'IBM'?,True,053_Patents
Is there a patent abstract that mentions 'software'?,True,053_Patents
Are there patents of the 'design' type?,True,053_Patents
How many unique organizations have patents listed?,3574,053_Patents
"On average, how many claims do the patents have?",14.745974597459746,053_Patents
What's the highest number of claims a patent has?,100,053_Patents
How many patents are of 'utility' type?,8848,053_Patents
Which organization has the patent with the highest number of claims?,Massachusetts Institute of Technology,053_Patents
Which kind of patent is the most common?,B2,053_Patents
In which language are the patents written?,en,053_Patents
Which graphext cluster is the most common among the patents?,"member, portion, body, end",053_Patents
Which are the top 3 organizations with the most patents? Use alphabetical order to break any ties.,"['International Business Machines Corporation', 'Samsung Electronics Co., Ltd.', 'Google Inc.']",053_Patents
List the 2 most common types of patents in the dataset.,"['utility', 'design']",053_Patents
Which 2 kinds of patents are the most prevalent?,"['B2', 'S1']",053_Patents
List the 2 least common graphext clusters among the patents. If there is a tie go by reverse alphabetical order,"['habit, plant, foliage, flowers', 'soybean, plant, cultivar, soybean cultivar']",053_Patents
What are the top 4 numbers of claims in the patents?,"[100, 96, 93, 88]",053_Patents
List the 3 patents (by ID) with the most number of claims.,"[9479771.0, 9325365.0, 9323284.0]",053_Patents
"Provide a list with the median number of claims for the B2 and S1 kinds separately. ""[16"," 1]""",053_Patents
List the 3 most recent patents by their ID.,"[9479476.0, 9479477.0, 9479478.0]",053_Patents
Has the author with the highest number of followers ever been verified?,True,054_Joe
Is the author who has the most favourites also the one with the most retweets?,True,054_Joe
Is the most mentioned user also the most retweeted mentioned user?,False,054_Joe
Does the author with the most retweets also have the most replies?,True,054_Joe
What is the maximum number of followers an author in the dataset has?,30308047,054_Joe
"How many authors have tweets which have received more than 10,000 favourites?",1,054_Joe
How many retweets does the most retweeted tweet have?,205169,054_Joe
How many times has the most mentioned user been mentioned?,383,054_Joe
Who is the author with the most followers?,Joe Biden,054_Joe
Who is the author with the highest number of user favourites?,Joe Biden,054_Joe
What is the name of the user who is most often named in the dataset?,Joe Biden,054_Joe
Who is the author of the tweet with the most retweets?,Joe Biden,054_Joe
Who are the top 3 authors with the most followers?,['Joe Biden'],054_Joe
Who are the top 4 authors with the most favourites?,['Joe Biden'],054_Joe
Who are the 4 users by name apart from the author who are mentioned the most often?,"[KamalaHarris, DrBiden, BarackObama, NRA]",054_Joe
Who are the top 2 authors of the tweets with the most retweets?,['Joe Biden''],054_Joe
What are the top 3 numbers of followers in the dataset?,"[30308047, 30308047, 30308045]",054_Joe
What are the top 3 numbers of favourites a tweet in the dataset has?,"[889245, 885249, 592545]",054_Joe
What are the 5 highest unique number of times a user is mentioned? Exclude empty references.,"[16, 10, 6, 5, 5]",054_Joe
What are the 2 highest numbers of retweets a tweet in the dataset has?,"[205169, 101314]",054_Joe
Is the borrower with the highest loan amount also the one with the longest loan duration?,False,055_German
Does the borrower with the maximum number of existing loans also have the highest loan amount?,False,055_German
Does the borrower with the longest loan duration also have the maximum number of existing loans?,False,055_German
Does the oldest borrower also have the highest loan amount?,False,055_German
What is the highest loan amount in the dataset?,18424,055_German
How many borrowers have more than 1 existing loan?,367,055_German
What is the longest loan duration in the dataset?,72,055_German
How many borrowers are older than 50?,113,055_German
What is the most common purpose of loans?,Radio/TV,055_German
What is the most common job category for borrowers?,Skilled,055_German
What is the most common credit history category for borrowers?,Existing Credits Paid Back Duly Till Now,055_German
What is the most common savings account status for borrowers?,Less than 100 DM,055_German
What are the top 3 jobs of borrowers with the highest loan amount?,"['Highly Skilled', 'Skilled', 'Highly Skilled']",055_German
What are the top 4 jobs of borrowers with the longest loan duration?,"['Skilled', 'Skilled', 'Skilled', 'Unskilled - Resident']",055_German
What are the 5 jobs of borrowers with the maximum number of existing loans?,"['Skilled', 'Skilled', 'Unskilled - Resident', 'Highly Skilled', 'Skilled']",055_German
What are the jobs of the oldest 2 borrowers?,"['Highly Skilled', 'Highly Skilled']",055_German
What are the top 3 loan amounts in the dataset?,"[18424, 15945, 15857]",055_German
What are the top 4 loan durations in the dataset?,"[72, 60, 60, 60]",055_German
What are the 3 maximum numbers of existing loans among borrowers?,"[4, 4, 4]",055_German
What are the ages of the top 2 oldest borrowers?,"[75, 75]",055_German
Are there any foods with zero calories?,False,056_Emoji
Do all foods contain sugar?,False,056_Emoji
Are there any foods that contain no fat at all?,True,056_Emoji
Are there foods that do not contain protein?,True,056_Emoji
How many foods have more than 500 kcal?,0,056_Emoji
What is the average amount of total fat (in grams) across all foods?,0.08465,056_Emoji
How many foods have a sodium content of more than 1 gram?,18,056_Emoji
